PHOTO,NAME,INSTAGRAM,NOTES
,ADAM ONDRA,@adam.ondra,"Referred to as ""world's strongest climber""

First to win World Cup in boulder + lead"
,ADAM SHAHAR,@adam.shahar113,iFSC Men's Boulder Rank #24
,AFRA HONIG,@afrahoenig,iFSC Women's Boulder Rank #23
,AI MORI,@aimori.climb_oshi,"iFSC Women's Rank #36

Youngest to win Lead Japan Cup in 2016 at age 12"
,AGATHE CALLIET,@agathe_calliet,iFSC Women's Boulder Rank #11
,AKIYO NOGUCHI,@noguchi_akiyo,iFSC Climbing World Cup Bouldering 4 time winner
,ALBERTO GINES LOPEZ,@albertogines_,Olympic Gold Tokyo 2020 (sport climbing)
,ALEKSANDRA KALUCKA,@aleksandra_kalucka,"iFSC Women's Speed Rank #10

Paris 2024 Olympics Bronze (speed)"
,ALEKSANDRA MIROSLAW,@ola_miroslaw,"iFSC Women's Speed Rank #1

Paris 2024 Olympics Gold (speed)"
,ALEX HONNOLD,@alexhonnold,Known for free solo climbs of big wall routes including El Capitan
,ALEX JOHNSON,@alexjohnson89,Made numerous first female ascents of notable boulders e.g. Clear Blue Skies V12
,ALEX MEGOS,@alexandermegos,First-ever climber to onsight a 9a graded route
,AMIR MAIMURATOV,@maimuratov,"iFSC Men's Speed Rank #4

Paris 2024 Olympics"
,ANNA MARIA APEL,@annaapel05,iFSC Women's Boulder Rank #30
,ANNIE SANDERS,@annie.climbs.sanders,iFSC Women's Boulder Rank #2
,ANON MATSUFUJI,@anon_matsufuji,iFSC Women's Boulder Rank #6
,ANZE PEHARC,@anze.peharc,iFSC Men's Boulder Rank #12
,ASHIMA SHIRAISHI,@ashimashiraishi,First-ever female to climb a V15 (8C) boulder
,BARBARA ZANGERL,@babsizangerl,Considered one of the best all-round female climbers in the world
,BEATRICE COLLI,@beacolliss,iFSC Women's Speed Rank #11
,BROOKE RABOUTOU,@brookeraboutou,Olympic Silver Paris 2024 (boulder + lead)
,CAMILLA MORONI,@camilla.moroni,iFSC Women's Boulder Rank #12
,CEDAR WRIGHT,@cedarwright,Known for adventurous first ascents
,CHAEHYUN SEO,@chaehyun.s,"iFSC Women's Lead Rank #3

1st Place iFSC World Championship in lead climbing"
,CHLOE CAULIER,@chloe_caulier,iFSC Women's Boulder Rank #24
,CHRIS SHARMA,@chris_sharma,Considered one of the greatest and most influential climbers in climbing history
,CLOE COSCOY,@cloe.coscoy,iFSC Women's Boulder Rank #27
,COLIN DUFFY,@colinclimbs,"iFSC Men's Boulder+Lead Rank #4

Youngest qualifier (17) for 2020 Tokyo Olympics"
,COLIN HALEY,@colinhaley1,"Known for fast ascents of technical, alpine routes"
,CONRAD ANKER,@conrad_anker,Climbing Magazine's Golden Pitons Lifetime Achievement
,DAYAN AKHTAR,@dayanakhtar,iFSC Men's Rank #10
,DENIS URUBKO,@urubkodenis,"1 of 8 climbers to reach the top of all the world's 8,000m mountains with no supplementary oxygen"
,DESAK MADE RITA KUSUMA DEWI,@desakmaderita01,"iFSC Women's Speed Rank #5

BBC's 100 Women List 2023"
,DOHYUN LEE,@leedo_ss,iFSC Men's Boulder Rank #2
,ELIAS ARRIAGADA KRUGER,@elias.arriagadak,iFSC Men's Boulder Rank #25
,EMMA EDWARDS,@emma.climbing,iFSC Women's Boulder Rank #16
,EMMA HUNT,@climbing_emma,"Holds American women's speed record with 6.25s

5th Place Paris 2024 Olympics (speed climbing)"
,ERIN MCNEICE,@erinmcbeast,"iFSC Women's Lead Rank #1

5th Place Paris 2024 Olympics (boulder + lead)"
,ETHAN PRINGLE,@ethan_pringle,Known for first repeat of Jumbo Love
,FUTABA ITO,@futaba_ito,"iFSC Women's Boulder Rank #14

1st Place Bouldering Japan Cup 2017"
,GIORGIA TESIO,@giorgia.tesio,iFSC Women's Boulder Rank #19
,HANNES VAN DUYSEN,@hannipan_,"iFSC Men's Boulder Rank #9

Paris 2024 Olympics (boulder + lead)"
,JACK MACDOUGALL,@jack_climbing,iFSC Men's Boulder Rank #21
,JAIN KIM,@allezkim,Lead Climbing World Cup 3-time winner
,JAKOB SCHUBERT,@jakob.schubert,"2-time Olympic Bronze

Won most men's iFSC gold medals as of 2023"
,JANJA GARNBRET,@janja_garnbret,"2 Olympic Gold Medals

Widely regarded as the greatest competition climber of all time"
,JAN-LUCA POSCH,@janluca.posch,iFSC Men's Boulder Rank #22
,JENNIFER UCHARIA BUCKLEY,@jenny__buckley,iFSC Women's Boulder Rank #18
,JESSICA PILZ,@jessy_pilz,Paris 2024 Olympics Bronze (bouldering + lead)
,JESSIE GRUPPER,@yayjesse_g,3rd place iFSC World Cup 2022 (lead climbing)
,JIANGUO LONG,,"iFSC Men's Speed Rank #7

Villars 2023 World Cup Gold"
,JIMIN JEONG,@jimin__jeong,iFSC Women's Speed Rank #7
,JONGWON CHON,@chonjongwon96,iFSC Men's Boulder Rank #17
,JULIA CHANOURDIE,@juliachanourdie,"Second-ever female in history to climb a 9b route, Eagle–4"
,KAI HARADA,@kai_hrd,"1st place Bouldering Climbing World Championships 2018

2020 Tokyo Olympics"
,KAI LIGHTNER,@kailightner,Advocate for diversity in rock climbing
,KATJA DEBEVEC,@katja_debevec,iFCS Women's Boulder Rank #20
,KEVIN JORGESON,@k_jorgeson,First-ever free climb of The Dawn Wall
,KIROMAL KATIBIN,@kiromalk,"iFSC Men's Speed Rank #2

World record holder in speed climbing, 5.009s, until April 2023"
,KOKORO FUJII,@fujii_kokoro,2nd place 2021 Bouldering World Cup
,KYRA CONDIE,@kyra_condie,Tokyo 2020 Olympics
,LAURA ROGORA,@laura.rogora,Second youngest ever (14) to climb 9a
,LEO FAVOT,@leofavot,iFSC Men's Boulder Rank #28
,LIJUAN DENG,@deng_lijuan512,"iFSC Women's Speed Rank #2

Paris 2024 Olympics Silver (speed)"
,LILY ABRIAT,@lily_abriat,iFSC Women's Boulder Rank #21
,LUCKA RAKOVEC,@luckarakovec,iFSC Women's Lead Rank #27
,LYNN HILL,@_linacolina_,Widely regarded as one of the leading climbers in the world during the late 1980s and early 1990s
,MADISON RICHARDSON,BLOG,iFSC Women's Boulder Rank #26
,MAGNUS MIDTBO,@magmidt,2013 World Games Bronze
,MANUEL CORNU,@manu_cornu,"Chongqing 2019 World Cup Gold

Prague 2024 World Cup Silver"
,MAO NAKAMURA,@mao__nakamura,Salt Lake City 2025 World Cup Bouldering Gold
,MATTEO ZURLONI,@matteozurlons,"Bern 2023 World Championships Gold

Paris 2024 Olympics"
,MAWEM BASSA,@lesfreresmawemofficiel,"Tokyo 2020 Olympics

Paris 2024 Olympics"
,MAXIMILLIAN MILNE,@maxthefuture,iFSC Men's Boulder Rank #7
,MEICHI NARASAKI,@meichi_narasaki,2nd Place Bouldering World Cup 2024
,MEJDI SCHALCK,@mejdi_schalk,"iFSC Men's Boulder Rank #3

2022 World Games Bronze"
,MELODY SEKIKAWA,@melody_sekikawa,iFSC Women's Boulder Rank #8
,MIA KRAMPL,@mia.krampl,"2nd place 2019 World Championships

Tokyo 2020 Olympics"
,MIHO NONAKA,@nonaka_miho,"Seoul 2023 World Cup Gold

Tokyo 2020 Olympics Silver (combined)"
,MOLLY THOMPSON-SMITH,@mollyts123,Paris 2024 Olympics
,NAILE MIEGNAN,@naile_miegnan,iFSC Women's Boulder Rank #10
,NATALIA GROSSMAN,@natalia_grossman,Only climber to have won four consecutive overall titles in bouldering
,NATALIA KALUCKA,@natalia_kalucka,"iFSC Women's Speed Rank #6

Villars 2024 World Championships Gold (speed)"
,NATHANIEL COLEMAN,@nathaniel.coleman,Tokyo 2020 Olympics Silver (combined)
,NEO SUZUKI,@neo__suzuki,"iFSC Men's Lead Rank #6

Innsbruck 2025 Lead World Cup Gold"
,NICOLAI UZNIK,@nicolaiuznik,iFSC Men's Boulder Rank #27
,NICOLAS HOJAC,@nicolashojak,One of the youngest climbers to successfully climb the North Face trilogy
,NIKOLAY RUSEV,@nikrusev_,iFSC Men's Boulder Rank #29
,OCEANA MACKENZIE,@oceana_climbing,"iFSC Women's Lead Rank #6

Paris 2024 Olympics"
,OREN PRIHED,@oren210,iFSC Men's Boulder Rank #23
,ORIANE BERTONE,@oriane_bertone,iFSC Women's Boulder Rank #1
,PAUL JENFT,@pauljenft,Paris 2024 Olympics
,PENG WU,@peng_wu,"iFSC Men's Speed Rank #9

Paris 2024 Olympics Silver (speed)"
,PIETRO RADASSAO,@pietro.rada,Founder of Morgia Climbing
,RAJIAH SALLSABILLAH,@rajiahsallsabillah,"iFSC Women's Speed Rank #8

2019 Asian Championships Gold (speed relay)"
,REI SUGIMOTO,@odenpyon,iFSC Men's Boulder Rank #26
,RITSU KAYOTANI,@ritsu_kayotani,iFSC Men's Boulder Rank #30
,RYO OMASA,@ryo_omasa,iFSC Men's Speed Rank #8
,SAM AVEZOU,@sam_avezou,"Paris 2024 Olympics

2022 European Championships Silver"
,SAMUEL RICHARD,@saam.richard,iFSC Men's Boulder Rank #19
,SAMUEL WATSON,@samuelwatson__,"iFSC Men's Speed Rank #1

Paris 2024 Olympics

Speed world record holder 4.64s"
,SATONE YOSHIDA,@satone_yoshida,iFSC Men's Lead Rank #2
,SEAN BAILEY,@seanbailey,World Cup 2021 3 Gold
,SHAOQIN ZHANG,@boulderingfish,"iFSC Women's Speed Rank #9

Wujiang 2025 World Cup Gold (speed)"
,SHION OMATA,@o_shion323.3z,iFSC Men's Lead Rank #5
,SIERRA BLAIR-COYLE,@sierrablaircoyl,Youngest World Cup qualifier in 2010
,SOFYA YOKOYAMA,@sofya_yokoyama,iFSC Women's Boulder Rank #29
,SOHTA AMAGASA,@sohta_amagasa,Innsbruck 2024 World Cup Gold (bouldering)
,SORATO ANRAKU,@anraku_sorato,"iFSC Men's Lead Rank #1

Paris 2024 Olympics Silver (combined)"
,STEFANO GHISOLFI,@steghiso,Fourth climber in history to redpoint a 9b+ (5.15c) route
,THOMAS LEMAGNER,@thomaslemagner,2023 European Games Gold (bouldering)
,TOBY ROBERTS,@toby_climbing,"Paris 2024 Olympics Gold (combined)

Youngest Briton to redpoint 8a, 8b, 9a, and 9a+"
,TOMMY CALDWELL,@tommycaldwell,"First to free climb a big wall route at 9a (5.14d) with The Dawn Wall 

Speed record holder on The Nose"
,TOMOA NARASAKI,@tomoa_narasaki,"3-time World Cup and World Championship winner

Tokyo 2020 and Paris 2024 Olympics"
,VADIM TIMONOV,@vadim_timonov,3rd place European Bouldering Championship 2019
,VEDDRIQ LEONARDO,@veddriq,"iFSC Men's Speed Rank #3

Paris 2024 Olympics Gold (speed)"
,VITA LUKAN,@vitalukan,2018 Summer Youth Olympics Silver (combined)
,WILL GADD,@realwillgadd,"United Nations 'Mountain Hero'

Achieved first one-day ascent of tallest mountain in Canadian Rockies"
,WILLIAM BOSI,@will_bosi,First Briton to climb 9b+ (5.15c)
,YAFEI ZHOU,@zhou_ya_fe_i,"iFSC Women's Speed Rank #3

Seoul 2024 World Cup Gold (speed)"
,YAROSLAV TKACH,@tkachyar,"iFSC Men's Speed Rank #10

Birmingham 2022 World Games Bronze (speed)"
,YUFEI PAN,@yfei_pan,Bern 2025 Boulder Gold
,YUETONG ZHANG,@zyue_tong,Paris 2024 Olympics (combined)
,YUJI FUJIWAKI,@possamyuji,5th Place Curitaba World Cup 2025
,ZACH HAMMER,@climber_zaq,"iFSC Men's Speed Rank #6

Paris 2024 Olympics"
,ZELIA AVEZOU,@zelia_avezou,2023 European Games Bouldering Gold
